Fecha,Noroeste monÛxido de carbono,Noreste monÛxido de carbono,Centro monÛxido de carbono,Suroeste monÛxido de carbono,Sureste monÛxido de carbono
07/12/22,9.375,11.54166667,11.33333333,5.708333333,8.458333333
08/12/22,7.458333333,6.541666667,7.125,5.208333333,8.5
09/12/22,6.375,5.458333333,6.541666667,7.458333333,7.916666667
10/12/22,7.125,9.083333333,7.166666667,5.208333333,8.583333333
11/12/22,4.611111111,6.375,7.166666667,4.611111111,8.277777778
12/12/22,7.291666667,8.958333333,8.958333333,4.666666667,10.25
13/12/22,9.166666667,10.25,8.666666667,5.541666667,6.833333333
14/12/22,8.791666667,9.166666667,7.208333333,4.958333333,5.833333333
15/12/22,11.75,11.29166667,9.708333333,7.083333333,7.708333333
16/12/22,13.25,12.5,12,8.75,9.166666667
17/12/22,9.055555556,8.444444444,9.166666667,6.555555556,5.777777778
18/12/22,7.041666667,8.583333333,8.916666667,6,6.708333333
19/12/22,7.5,9.166666667,9.416666667,6.333333333,8.166666667
20/12/22,7.083333333,11.58333333,11.33333333,6.708333333,9.958333333
21/12/22,6.5,5.125,5.5,5.458333333,5.5
22/12/22,7.833333333,10,10.04166667,6.5,8.875
23/12/22,4.555555556,6.777777778,6.666666667,5.222222222,8
24/12/22,6.541666667,10.83333333,8.125,5.791666667,5.916666667
25/12/22,5.625,7.833333333,6.166666667,7.708333333,5.5
26/12/22,5.458333333,6.875,5.625,4.583333333,5.5
27/12/22,5.166666667,5.791666667,5.583333333,4.458333333,6.625
28/12/22,6.541666667,10.375,8.583333333,4.083333333,7.791666667
29/12/22,7.388888889,8.111111111,8.5,3.722222222,8.277777778
30/12/22,4.708333333,8.375,10.16666667,4.833333333,8.083333333
31/12/22,5.916666667,5.125,5.541666667,4.5,5.041666667
